"Hyperparameters: —episodes 1e5 —seed 25 —learn_rate 0.01— e_init 1 —e_final 0 —discount 0.95
slippery = False",,
episode_num,total_reward,episode_length
391,0.0,4
392,0.0,5
393,0.0,7
394,0.0,21
395,0.0,5
396,0.0,4
397,0.0,4
398,0.0,7
399,0.0,3
400,0.0,14
401,0.0,18
402,0.0,7
403,0.0,18
404,0.0,8
405,0.0,13
406,0.0,12
407,1.0,9
408,0.0,4
409,0.0,16
410,0.0,8
411,0.0,12
412,0.0,11
413,0.0,3
414,0.0,15
415,0.0,11
416,0.0,11
417,0.0,8
418,0.0,13
419,0.0,6
420,0.0,5
421,0.0,2
422,0.0,13
423,0.0,3
424,0.0,10
425,0.0,5
426,0.0,11
427,0.0,8
428,0.0,7
429,0.0,5
430,0.0,13
431,0.0,2
432,0.0,3
433,0.0,2
434,0.0,2
435,0.0,4
436,0.0,5
437,0.0,3
438,0.0,13
439,0.0,2
440,0.0,6
441,0.0,5
442,0.0,8
443,0.0,6
444,0.0,2
445,0.0,11
446,0.0,17
447,0.0,9
448,0.0,13
449,0.0,4
450,0.0,9
451,0.0,4
452,0.0,2
453,0.0,6
454,0.0,2
455,0.0,3
456,0.0,23
457,0.0,11
458,0.0,3
459,0.0,9
460,0.0,13
461,0.0,6
462,0.0,4
463,0.0,10
464,0.0,3
465,0.0,6
466,0.0,6
467,0.0,4
468,0.0,7
469,0.0,2
470,0.0,2
471,0.0,2
472,0.0,13
473,0.0,8
474,0.0,6
475,0.0,2
476,0.0,12
477,0.0,10
478,0.0,12
479,0.0,8
480,0.0,7
481,0.0,8
482,0.0,3
483,0.0,15
484,0.0,30
485,0.0,2
486,0.0,7
487,0.0,7
488,0.0,5
489,0.0,5
490,0.0,2
491,0.0,2
492,0.0,8
493,0.0,2
494,0.0,7
495,0.0,5
496,0.0,2
497,0.0,2
498,0.0,3
499,0.0,6
500,0.0,7
501,0.0,9
502,0.0,8
503,0.0,8
504,0.0,5
505,0.0,7
506,0.0,4
507,0.0,17
508,0.0,13
509,0.0,7
510,0.0,3
511,0.0,8
512,0.0,9
513,0.0,5
514,0.0,7
515,0.0,2
516,0.0,28
517,0.0,3
518,0.0,16
519,0.0,3
520,0.0,12
521,0.0,6
522,0.0,29
523,0.0,4
524,0.0,10
525,0.0,3
526,0.0,6
527,0.0,2
528,0.0,7
529,0.0,19
530,0.0,5
531,0.0,10
532,0.0,11
533,0.0,9
534,0.0,19
535,0.0,16
536,0.0,10
537,0.0,5
538,0.0,4
539,1.0,8
540,0.0,16
541,0.0,4
542,0.0,22
543,0.0,9
544,0.0,17
545,0.0,5
546,0.0,14
547,0.0,15
548,0.0,6
549,0.0,2
550,0.0,2
551,0.0,22
552,0.0,6
553,0.0,2
554,0.0,27
555,0.0,9
556,0.0,5
557,0.0,5
558,0.0,11
559,0.0,4
560,0.0,6
561,0.0,18
562,0.0,5
563,0.0,13
564,0.0,2
565,0.0,6
566,0.0,16
567,0.0,3
568,0.0,7
569,0.0,3
570,0.0,3
571,0.0,4
572,0.0,9
573,0.0,10
574,0.0,9
575,0.0,4
576,0.0,14
577,0.0,10
578,0.0,5
579,0.0,11
580,0.0,9
581,0.0,15
582,0.0,2
583,0.0,4
584,0.0,4
585,0.0,9
586,0.0,9
587,0.0,3
588,0.0,12
589,0.0,8
590,0.0,13
591,0.0,8
592,0.0,8
593,0.0,12
594,0.0,5
595,0.0,3
596,0.0,10
597,0.0,11
598,0.0,8
599,0.0,3
600,0.0,24
601,0.0,7
602,0.0,16
603,0.0,2
604,0.0,6
605,0.0,7
606,0.0,26
607,0.0,16
608,1.0,11
609,0.0,30
610,0.0,11
611,0.0,5
612,0.0,4
613,0.0,6
614,0.0,6
615,0.0,11
616,0.0,7
617,0.0,13
618,0.0,5
619,0.0,2
620,1.0,7
621,0.0,4
622,0.0,8
623,0.0,5
624,0.0,12
625,0.0,3
626,0.0,3
627,0.0,9
628,0.0,2
629,0.0,3
630,0.0,2
631,0.0,4
632,0.0,3
633,0.0,5
634,0.0,2
635,0.0,2
636,0.0,2
637,0.0,13
638,0.0,5
639,0.0,3
640,0.0,7
641,0.0,7
642,0.0,3
643,0.0,8
644,0.0,3
645,0.0,13
646,0.0,9
647,0.0,3
648,0.0,2
649,0.0,16
650,0.0,3
651,0.0,2
652,0.0,2
653,0.0,3
654,0.0,9
655,0.0,6
656,0.0,5
657,0.0,5
658,0.0,3
659,0.0,8
660,0.0,5
661,0.0,18
662,0.0,4
663,0.0,5
664,0.0,23
665,0.0,8
666,0.0,9
667,0.0,4
668,0.0,8
669,0.0,18
670,0.0,15
671,0.0,6
672,1.0,9
673,0.0,11
674,0.0,31
675,0.0,3
676,0.0,2
677,0.0,6
678,0.0,9
679,0.0,4
680,0.0,3
681,0.0,10
682,0.0,3
683,0.0,4
684,0.0,15
685,0.0,15
686,0.0,14
687,0.0,12
688,0.0,8
689,0.0,6
690,0.0,12
691,0.0,5
692,0.0,5
693,0.0,14
694,0.0,6
695,0.0,19
696,0.0,2
697,0.0,6
698,0.0,14
699,0.0,4
700,0.0,27
701,0.0,5
702,0.0,16
703,0.0,9
704,0.0,6
705,0.0,11
706,0.0,4
707,0.0,4
708,0.0,5
709,0.0,3
710,0.0,11
711,0.0,3
712,0.0,5
713,0.0,6
714,0.0,2
715,0.0,15
716,0.0,7
717,0.0,11
718,0.0,5
719,0.0,20
720,0.0,3
721,0.0,7
722,0.0,7
723,0.0,3
724,0.0,2
725,0.0,4
726,0.0,6
727,0.0,3
728,0.0,8
729,0.0,4
730,0.0,25
731,0.0,13
732,0.0,3
733,0.0,5
734,0.0,6
735,0.0,2
736,0.0,20
737,0.0,10
738,0.0,4
739,0.0,4
740,0.0,4
741,0.0,8
742,1.0,12
743,0.0,4
744,0.0,6
745,0.0,5
746,0.0,10
747,0.0,7
748,0.0,5
749,0.0,2
750,0.0,2
751,0.0,3
752,0.0,6
753,0.0,11
754,0.0,4
755,0.0,6
756,0.0,3
757,0.0,8
758,0.0,10
759,0.0,2
760,0.0,7
761,0.0,2
762,0.0,4
763,0.0,3
764,0.0,3
765,0.0,9
766,0.0,15
767,0.0,2
768,0.0,10
769,0.0,5
770,0.0,2
771,0.0,2
772,0.0,3
773,0.0,21
774,0.0,4
775,0.0,2
776,0.0,5
777,0.0,3
778,0.0,3
