"Hyperparameters: —episodes 1e5 —seed 25 —learn_rate 0.01— e_init 1 —e_final 0 —discount 0.95
slippery = False",,
episode_num,total_reward,episode_length
27992,0.0,3
27993,0.0,9
27994,0.0,11
27995,0.0,5
27996,1.0,12
27997,0.0,2
27998,0.0,5
27999,0.0,7
28000,1.0,7
28001,0.0,3
28002,0.0,4
28003,0.0,5
28004,0.0,2
28005,0.0,5
28006,0.0,3
28007,0.0,7
28008,0.0,18
28009,0.0,12
28010,0.0,8
28011,1.0,16
28012,0.0,7
28013,0.0,2
28014,1.0,8
28015,0.0,4
28016,0.0,23
28017,0.0,14
28018,0.0,5
28019,0.0,2
28020,0.0,7
28021,0.0,4
28022,1.0,11
28023,0.0,4
28024,0.0,2
28025,1.0,17
28026,0.0,5
28027,0.0,4
28028,0.0,2
28029,1.0,6
28030,0.0,5
28031,0.0,4
28032,0.0,6
28033,1.0,6
28034,0.0,11
28035,1.0,14
28036,0.0,4
28037,0.0,9
28038,0.0,2
28039,0.0,3
28040,0.0,8
28041,0.0,3
28042,0.0,9
28043,0.0,15
28044,0.0,8
28045,0.0,16
28046,0.0,7
28047,0.0,2
28048,0.0,10
28049,1.0,15
28050,0.0,12
28051,0.0,5
28052,0.0,2
28053,1.0,8
28054,0.0,6
28055,0.0,4
28056,0.0,6
28057,0.0,9
28058,1.0,11
28059,1.0,30
28060,0.0,5
28061,0.0,5
28062,0.0,14
28063,1.0,13
28064,1.0,9
28065,0.0,7
28066,1.0,10
28067,0.0,4
28068,0.0,11
28069,0.0,5
28070,0.0,15
28071,0.0,7
28072,0.0,15
28073,0.0,13
28074,0.0,2
28075,0.0,9
28076,0.0,4
28077,0.0,4
28078,0.0,6
28079,1.0,10
28080,0.0,6
28081,0.0,4
28082,0.0,3
28083,1.0,8
28084,0.0,4
28085,0.0,6
28086,0.0,8
28087,0.0,5
28088,1.0,12
28089,0.0,4
28090,0.0,3
28091,0.0,13
28092,0.0,16
28093,0.0,9
28094,0.0,8
28095,0.0,12
28096,0.0,3
28097,0.0,2
28098,0.0,10
28099,0.0,4
28100,0.0,7
28101,0.0,9
28102,0.0,8
28103,0.0,19
28104,0.0,7
28105,1.0,13
28106,0.0,4
28107,0.0,6
28108,1.0,7
28109,0.0,7
28110,0.0,13
28111,1.0,8
28112,0.0,7
28113,0.0,6
28114,1.0,9
28115,0.0,4
28116,0.0,4
28117,0.0,4
28118,0.0,14
28119,1.0,18
28120,0.0,12
28121,0.0,7
28122,1.0,12
28123,0.0,6
28124,0.0,9
28125,0.0,2
28126,1.0,7
28127,0.0,5
28128,0.0,14
28129,0.0,4
28130,1.0,12
28131,0.0,11
28132,0.0,5
28133,0.0,6
28134,0.0,9
28135,0.0,2
28136,0.0,7
28137,0.0,5
28138,0.0,8
28139,0.0,13
28140,0.0,2
28141,0.0,5
28142,1.0,17
28143,0.0,5
28144,1.0,10
28145,1.0,6
28146,0.0,7
28147,0.0,8
28148,0.0,4
28149,0.0,8
28150,0.0,2
28151,0.0,5
28152,0.0,2
28153,1.0,20
28154,0.0,8
28155,0.0,12
28156,0.0,5
28157,0.0,4
28158,0.0,3
28159,0.0,12
28160,0.0,5
28161,1.0,11
28162,1.0,9
28163,0.0,6
28164,0.0,7
28165,0.0,4
28166,0.0,3
28167,0.0,16
28168,0.0,15
28169,0.0,9
28170,0.0,6
28171,0.0,8
28172,1.0,9
28173,0.0,3
28174,1.0,12
28175,0.0,13
28176,0.0,5
28177,1.0,23
28178,0.0,13
28179,0.0,9
28180,0.0,16
28181,0.0,7
28182,0.0,10
28183,0.0,4
28184,0.0,7
28185,0.0,15
28186,0.0,2
28187,0.0,12
28188,0.0,2
28189,0.0,5
28190,0.0,3
28191,1.0,9
28192,0.0,10
28193,0.0,7
28194,0.0,16
28195,0.0,5
28196,0.0,6
28197,1.0,10
28198,0.0,2
28199,0.0,4
28200,0.0,4
28201,0.0,5
28202,0.0,3
28203,1.0,14
28204,0.0,5
28205,0.0,5
28206,0.0,7
28207,0.0,5
28208,1.0,6
28209,1.0,8
28210,0.0,2
28211,0.0,2
28212,0.0,6
28213,0.0,14
28214,0.0,6
28215,0.0,8
28216,0.0,6
28217,1.0,15
28218,1.0,7
28219,0.0,5
28220,0.0,7
28221,1.0,7
28222,0.0,6
28223,0.0,8
28224,0.0,2
28225,0.0,19
28226,1.0,6
28227,0.0,4
28228,0.0,10
28229,0.0,2
28230,1.0,6
28231,0.0,7
28232,0.0,2
28233,1.0,6
28234,0.0,8
28235,0.0,2
28236,0.0,9
28237,0.0,12
28238,0.0,7
28239,0.0,8
28240,0.0,11
28241,0.0,2
28242,1.0,22
28243,0.0,4
28244,1.0,13
28245,0.0,5
28246,1.0,8
28247,0.0,6
28248,0.0,7
28249,0.0,5
28250,0.0,2
28251,0.0,7
28252,0.0,2
28253,0.0,2
28254,0.0,16
28255,0.0,10
28256,1.0,9
28257,1.0,11
28258,0.0,5
28259,0.0,5
28260,0.0,3
28261,0.0,4
28262,1.0,6
28263,0.0,4
28264,0.0,2
28265,0.0,2
28266,0.0,20
28267,0.0,2
28268,0.0,2
28269,0.0,3
28270,0.0,15
28271,1.0,10
28272,0.0,7
28273,0.0,8
28274,0.0,4
28275,1.0,8
28276,1.0,8
28277,0.0,2
28278,0.0,3
28279,0.0,5
28280,0.0,4
28281,0.0,8
28282,1.0,17
28283,0.0,7
28284,0.0,3
28285,0.0,5
28286,0.0,15
28287,0.0,4
28288,0.0,2
28289,0.0,7
28290,0.0,7
28291,0.0,2
28292,0.0,2
28293,0.0,5
28294,0.0,13
28295,0.0,7
28296,0.0,6
28297,0.0,4
28298,0.0,9
28299,0.0,12
28300,0.0,16
28301,1.0,7
28302,0.0,5
28303,0.0,5
28304,0.0,12
28305,1.0,8
28306,1.0,14
28307,0.0,8
28308,1.0,12
28309,0.0,4
28310,0.0,11
28311,0.0,9
28312,0.0,12
28313,0.0,5
28314,0.0,2
28315,0.0,3
28316,0.0,5
28317,0.0,7
28318,0.0,2
28319,1.0,12
28320,0.0,4
28321,0.0,6
28322,0.0,6
28323,0.0,2
28324,1.0,14
28325,1.0,11
28326,0.0,4
28327,0.0,2
28328,0.0,2
28329,0.0,4
28330,0.0,2
28331,0.0,3
28332,1.0,14
28333,0.0,2
28334,0.0,7
28335,0.0,8
28336,0.0,5
28337,0.0,4
28338,0.0,21
28339,1.0,10
28340,0.0,11
28341,0.0,2
28342,0.0,6
28343,1.0,18
28344,0.0,7
28345,0.0,4
28346,0.0,6
28347,0.0,16
28348,1.0,8
28349,0.0,7
28350,0.0,4
28351,0.0,5
28352,0.0,2
28353,0.0,4
28354,0.0,4
28355,0.0,2
28356,1.0,12
28357,0.0,3
28358,0.0,2
28359,0.0,15
28360,0.0,2
28361,1.0,18
28362,0.0,9
28363,0.0,9
28364,0.0,7
28365,0.0,11
28366,0.0,5
28367,0.0,2
28368,0.0,5
28369,0.0,7
28370,0.0,2
28371,0.0,2
28372,0.0,4
28373,1.0,9
28374,0.0,9
28375,0.0,4
28376,0.0,5
28377,0.0,5
28378,0.0,5
28379,0.0,10
28380,0.0,3
28381,0.0,6
28382,1.0,18
28383,0.0,5
28384,0.0,4
28385,1.0,6
28386,1.0,13
28387,0.0,2
28388,0.0,10
28389,0.0,3
28390,0.0,17
28391,0.0,17
28392,0.0,10
28393,0.0,5
28394,1.0,10
28395,0.0,8
28396,0.0,9
28397,0.0,14
28398,0.0,4
28399,0.0,8
28400,0.0,5
28401,0.0,4
28402,0.0,7
28403,0.0,2
28404,0.0,7
28405,1.0,6
28406,0.0,4
28407,0.0,2
28408,0.0,10
28409,0.0,9
28410,0.0,2
28411,0.0,6
28412,1.0,19
28413,0.0,7
28414,1.0,7
28415,0.0,3
28416,0.0,9
28417,0.0,2
28418,0.0,17
28419,1.0,16
28420,0.0,6
28421,0.0,2
28422,0.0,9
28423,0.0,6
28424,0.0,10
28425,1.0,7
28426,1.0,12
28427,0.0,3
28428,0.0,3
28429,0.0,2
28430,0.0,5
28431,0.0,21
28432,0.0,3
28433,1.0,14
28434,0.0,5
28435,0.0,3
28436,0.0,8
28437,0.0,5
28438,1.0,8
28439,0.0,6
28440,1.0,22
28441,0.0,6
28442,0.0,8
28443,0.0,10
28444,0.0,8
28445,0.0,10
28446,0.0,9
28447,0.0,9
28448,0.0,8
28449,1.0,11
28450,0.0,6
28451,0.0,4
28452,0.0,2
28453,0.0,7
28454,0.0,3
28455,0.0,14
28456,0.0,14
28457,0.0,2
28458,0.0,5
28459,0.0,4
28460,0.0,8
28461,0.0,5
28462,0.0,5
28463,0.0,2
28464,0.0,7
28465,0.0,9
28466,0.0,5
28467,0.0,4
28468,0.0,10
28469,1.0,12
28470,1.0,8
28471,0.0,22
28472,0.0,5
28473,0.0,7
28474,0.0,4
28475,1.0,20
28476,1.0,8
28477,0.0,7
28478,0.0,6
28479,1.0,18
28480,0.0,3
28481,0.0,4
28482,0.0,20
28483,0.0,8
28484,0.0,6
28485,0.0,2
28486,0.0,8
28487,0.0,4
28488,0.0,9
28489,0.0,5
28490,0.0,6
28491,0.0,10
28492,0.0,10
28493,0.0,8
28494,0.0,9
28495,0.0,11
28496,1.0,16
28497,0.0,12
28498,0.0,6
28499,0.0,15
28500,0.0,3
28501,0.0,4
28502,1.0,9
28503,1.0,8
28504,0.0,4
28505,1.0,13
28506,0.0,6
28507,1.0,8
28508,0.0,9
28509,0.0,5
28510,0.0,5
28511,0.0,5
28512,0.0,5
28513,0.0,3
28514,1.0,10
28515,0.0,4
28516,0.0,7
28517,0.0,5
28518,0.0,26
28519,0.0,3
28520,0.0,2
28521,0.0,2
28522,0.0,2
28523,0.0,10
28524,1.0,14
28525,0.0,4
28526,0.0,2
28527,1.0,16
28528,1.0,6
28529,0.0,4
28530,0.0,8
28531,0.0,4
28532,0.0,9
28533,0.0,3
28534,0.0,4
28535,0.0,13
28536,0.0,4
28537,0.0,2
28538,0.0,6
28539,0.0,10
28540,0.0,6
28541,0.0,4
28542,0.0,5
28543,0.0,2
28544,0.0,7
28545,0.0,5
28546,0.0,4
28547,0.0,15
28548,0.0,7
28549,0.0,2
28550,0.0,4
28551,0.0,5
28552,0.0,9
28553,1.0,7
28554,0.0,11
28555,0.0,14
28556,0.0,6
28557,0.0,5
28558,0.0,6
28559,0.0,4
28560,0.0,4
28561,0.0,7
28562,1.0,15
28563,0.0,2
28564,1.0,13
28565,1.0,12
28566,0.0,13
28567,0.0,6
28568,0.0,2
28569,0.0,5
28570,0.0,15
28571,0.0,17
28572,0.0,12
28573,0.0,13
28574,0.0,18
28575,0.0,15
28576,0.0,2
28577,0.0,7
28578,0.0,11
28579,0.0,7
28580,1.0,9
28581,0.0,3
28582,0.0,8
28583,1.0,8
28584,1.0,9
28585,0.0,2
28586,0.0,12
28587,0.0,10
28588,0.0,18
28589,0.0,6
28590,0.0,17
28591,0.0,5
28592,0.0,8
28593,0.0,3
28594,0.0,5
28595,0.0,14
28596,0.0,2
28597,0.0,4
28598,1.0,11
28599,0.0,2
28600,0.0,7
28601,0.0,5
28602,0.0,3
28603,1.0,14
28604,0.0,4
28605,0.0,5
28606,0.0,5
28607,0.0,4
28608,0.0,11
28609,0.0,4
28610,0.0,8
28611,0.0,15
28612,1.0,10
28613,0.0,3
28614,0.0,16
28615,0.0,4
28616,0.0,7
28617,1.0,8
28618,1.0,11
28619,1.0,12
28620,0.0,4
28621,0.0,4
28622,0.0,2
28623,0.0,3
28624,0.0,5
28625,0.0,3
28626,0.0,11
28627,0.0,17
28628,0.0,4
28629,0.0,8
28630,0.0,9
28631,1.0,8
28632,1.0,11
28633,0.0,4
28634,0.0,4
28635,0.0,3
28636,0.0,7
28637,0.0,4
28638,0.0,10
28639,1.0,7
28640,0.0,3
28641,0.0,4
28642,0.0,13
28643,0.0,13
28644,0.0,3
28645,0.0,15
28646,0.0,9
28647,1.0,14
28648,0.0,4
28649,0.0,9
28650,0.0,4
28651,1.0,12
28652,0.0,6
28653,0.0,7
28654,0.0,4
28655,0.0,15
28656,1.0,7
28657,0.0,2
28658,0.0,9
28659,0.0,7
28660,0.0,4
28661,0.0,14
28662,0.0,6
28663,0.0,6
28664,0.0,10
28665,0.0,5
28666,0.0,4
28667,0.0,8
28668,0.0,2
28669,1.0,16
28670,0.0,17
28671,0.0,6
28672,0.0,7
28673,0.0,12
28674,1.0,7
28675,0.0,10
28676,1.0,18
28677,0.0,2
28678,1.0,12
28679,0.0,6
28680,0.0,4
28681,0.0,3
28682,0.0,2
28683,0.0,8
28684,0.0,6
28685,1.0,7
28686,0.0,4
28687,0.0,4
28688,1.0,9
28689,0.0,9
28690,1.0,10
28691,1.0,8
28692,0.0,4
28693,0.0,3
28694,0.0,5
28695,0.0,5
28696,0.0,7
28697,0.0,5
28698,0.0,5
28699,0.0,11
28700,0.0,8
28701,0.0,4
28702,0.0,28
28703,0.0,4
28704,1.0,8
28705,0.0,5
28706,0.0,5
28707,0.0,4
28708,0.0,7
28709,0.0,9
28710,0.0,4
28711,0.0,5
28712,0.0,2
28713,0.0,3
28714,0.0,10
28715,0.0,6
28716,0.0,8
28717,0.0,4
28718,0.0,5
28719,0.0,6
28720,0.0,4
28721,0.0,3
28722,0.0,7
28723,0.0,7
28724,0.0,6
28725,0.0,2
28726,0.0,4
28727,0.0,12
28728,0.0,4
28729,1.0,13
28730,1.0,11
28731,1.0,9
28732,0.0,4
28733,0.0,5
28734,0.0,11
28735,1.0,15
28736,0.0,4
28737,0.0,7
28738,0.0,6
28739,0.0,7
28740,0.0,9
28741,0.0,7
28742,0.0,7
28743,0.0,4
28744,0.0,25
28745,1.0,11
28746,1.0,15
28747,1.0,12
28748,0.0,7
28749,0.0,7
28750,1.0,13
28751,0.0,7
28752,0.0,2
28753,0.0,2
28754,0.0,11
28755,0.0,8
28756,0.0,4
28757,1.0,6
28758,0.0,12
28759,0.0,7
28760,0.0,2
28761,0.0,5
28762,0.0,4
28763,0.0,8
28764,1.0,10
28765,0.0,13
28766,0.0,2
28767,0.0,8
28768,0.0,18
28769,0.0,3
28770,1.0,12
28771,0.0,2
28772,0.0,3
28773,0.0,2
28774,0.0,2
28775,1.0,14
28776,0.0,4
28777,1.0,14
28778,1.0,6
28779,0.0,2
28780,0.0,6
28781,0.0,14
28782,0.0,8
28783,0.0,19
28784,0.0,13
28785,0.0,6
28786,1.0,10
28787,0.0,8
28788,0.0,8
28789,0.0,2
28790,0.0,12
28791,0.0,4
28792,1.0,11
28793,1.0,13
28794,1.0,8
28795,0.0,6
28796,0.0,9
28797,0.0,6
28798,1.0,11
28799,0.0,6
28800,0.0,2
28801,0.0,16
28802,0.0,8
28803,0.0,2
28804,0.0,3
28805,0.0,3
28806,0.0,9
28807,0.0,6
28808,0.0,2
28809,0.0,3
28810,1.0,8
28811,0.0,2
28812,0.0,2
28813,0.0,8
28814,0.0,3
28815,1.0,13
28816,0.0,10
28817,0.0,8
28818,0.0,6
28819,1.0,12
28820,0.0,3
28821,0.0,5
28822,0.0,4
28823,0.0,4
28824,0.0,11
28825,0.0,4
28826,0.0,4
28827,0.0,7
28828,0.0,2
28829,0.0,3
28830,0.0,7
28831,0.0,8
28832,0.0,5
28833,1.0,13
28834,0.0,11
28835,0.0,7
28836,0.0,6
28837,0.0,7
28838,0.0,7
28839,0.0,3
28840,1.0,10
28841,0.0,12
28842,0.0,3
28843,0.0,4
28844,0.0,4
28845,0.0,2
28846,0.0,10
28847,0.0,10
28848,0.0,13
28849,1.0,20
28850,0.0,10
28851,0.0,3
28852,0.0,6
28853,0.0,4
28854,0.0,15
28855,0.0,7
28856,0.0,2
28857,0.0,3
28858,1.0,10
28859,0.0,3
28860,0.0,5
28861,0.0,3
28862,0.0,5
28863,1.0,9
28864,0.0,5
28865,0.0,7
28866,0.0,2
28867,0.0,5
28868,0.0,9
28869,0.0,7
28870,0.0,10
28871,0.0,2
28872,0.0,4
28873,0.0,5
28874,0.0,6
28875,0.0,5
28876,1.0,8
28877,0.0,8
28878,0.0,3
28879,1.0,11
28880,0.0,2
28881,0.0,10
28882,0.0,16
28883,0.0,13
28884,0.0,8
28885,1.0,17
28886,0.0,8
28887,0.0,7
28888,0.0,7
28889,0.0,8
28890,1.0,11
28891,0.0,6
28892,0.0,14
28893,0.0,4
28894,0.0,3
28895,0.0,3
28896,0.0,8
28897,0.0,14
28898,0.0,5
28899,1.0,9
28900,0.0,2
28901,0.0,12
28902,0.0,2
28903,0.0,4
28904,0.0,10
28905,0.0,2
28906,1.0,12
28907,0.0,3
28908,1.0,12
28909,0.0,7
28910,0.0,6
28911,0.0,9
28912,0.0,14
28913,0.0,4
28914,0.0,5
28915,0.0,4
28916,0.0,7
28917,0.0,10
28918,0.0,3
28919,0.0,5
28920,0.0,2
28921,0.0,7
28922,0.0,10
28923,0.0,3
28924,0.0,2
28925,0.0,2
28926,0.0,2
28927,0.0,8
28928,0.0,7
28929,0.0,5
28930,0.0,5
28931,0.0,2
28932,0.0,4
28933,0.0,7
28934,0.0,3
28935,0.0,20
28936,1.0,13
28937,0.0,7
28938,1.0,7
28939,0.0,12
28940,0.0,11
28941,0.0,5
28942,0.0,2
28943,0.0,8
28944,0.0,6
28945,0.0,4
28946,0.0,10
28947,0.0,6
28948,0.0,4
28949,0.0,10
28950,1.0,13
28951,1.0,6
28952,0.0,4
28953,0.0,3
28954,0.0,7
28955,0.0,14
28956,1.0,15
28957,1.0,8
28958,1.0,17
28959,0.0,5
28960,1.0,9
28961,0.0,4
28962,0.0,3
28963,0.0,10
28964,0.0,4
28965,0.0,2
28966,0.0,2
28967,0.0,16
28968,1.0,8
28969,0.0,9
28970,1.0,19
28971,1.0,8
28972,1.0,14
28973,0.0,24
28974,0.0,5
28975,0.0,2
28976,0.0,2
28977,0.0,9
28978,0.0,4
28979,0.0,6
28980,0.0,4
28981,0.0,11
28982,0.0,9
28983,0.0,7
28984,0.0,7
28985,0.0,3
28986,0.0,6
28987,0.0,3
28988,0.0,5
28989,0.0,10
28990,0.0,8
28991,0.0,6
28992,1.0,7
28993,0.0,7
28994,0.0,2
28995,0.0,2
28996,0.0,4
28997,0.0,5
28998,1.0,6
28999,0.0,15
29000,0.0,9
29001,1.0,8
29002,0.0,2
29003,0.0,27
29004,0.0,5
29005,0.0,2
29006,0.0,5
29007,0.0,15
29008,1.0,8
29009,0.0,3
29010,0.0,10
29011,0.0,10
29012,0.0,4
29013,0.0,4
29014,1.0,10
29015,0.0,2
29016,0.0,12
29017,0.0,5
29018,0.0,3
29019,0.0,4
29020,0.0,6
29021,0.0,5
29022,0.0,13
29023,0.0,8
29024,0.0,3
29025,0.0,6
29026,0.0,4
29027,0.0,5
29028,0.0,8
29029,0.0,14
29030,1.0,15
29031,0.0,17
29032,1.0,25
29033,1.0,7
29034,0.0,2
29035,0.0,6
29036,0.0,10
29037,0.0,6
29038,0.0,17
29039,0.0,4
29040,0.0,4
29041,0.0,5
29042,0.0,6
29043,0.0,17
29044,0.0,4
29045,0.0,4
29046,0.0,6
29047,0.0,7
29048,0.0,4
29049,0.0,7
29050,0.0,2
29051,0.0,7
29052,0.0,4
29053,1.0,14
29054,1.0,11
29055,0.0,5
29056,0.0,2
29057,0.0,11
29058,1.0,6
29059,0.0,13
29060,0.0,5
29061,0.0,9
29062,1.0,6
29063,0.0,5
29064,0.0,4
29065,0.0,7
29066,0.0,13
29067,0.0,12
29068,0.0,16
29069,1.0,9
29070,0.0,15
29071,0.0,8
29072,0.0,7
29073,0.0,10
29074,0.0,9
29075,0.0,11
29076,0.0,13
29077,0.0,9
29078,0.0,4
29079,1.0,8
29080,0.0,10
29081,0.0,4
29082,0.0,5
29083,1.0,18
29084,0.0,19
29085,0.0,9
29086,1.0,11
29087,0.0,9
29088,0.0,3
29089,0.0,4
29090,0.0,6
29091,1.0,12
29092,1.0,14
29093,1.0,6
29094,0.0,13
29095,1.0,23
29096,0.0,11
29097,0.0,14
29098,1.0,12
29099,0.0,2
29100,1.0,11
29101,1.0,19
29102,0.0,6
29103,0.0,8
29104,0.0,5
29105,0.0,2
29106,0.0,3
29107,0.0,2
29108,0.0,5
29109,0.0,23
29110,0.0,9
29111,1.0,18
29112,0.0,2
29113,0.0,8
29114,0.0,10
29115,0.0,2
29116,0.0,7
29117,1.0,14
29118,0.0,8
29119,0.0,12
29120,0.0,12
29121,0.0,6
29122,0.0,3
29123,1.0,11
29124,0.0,4
29125,0.0,8
29126,0.0,2
29127,0.0,5
29128,0.0,5
29129,0.0,2
29130,1.0,8
29131,0.0,2
29132,0.0,8
29133,0.0,10
29134,1.0,11
29135,0.0,7
29136,0.0,5
29137,0.0,9
29138,0.0,2
29139,0.0,6
29140,0.0,4
29141,1.0,6
29142,0.0,9
29143,0.0,3
29144,0.0,5
29145,0.0,4
29146,0.0,4
29147,0.0,6
29148,0.0,13
29149,0.0,5
29150,1.0,18
29151,0.0,3
29152,0.0,8
29153,0.0,3
29154,1.0,16
29155,0.0,2
29156,0.0,2
29157,0.0,5
29158,0.0,8
29159,0.0,4
29160,0.0,2
29161,0.0,3
29162,0.0,13
29163,0.0,13
29164,0.0,3
29165,1.0,12
29166,0.0,2
29167,0.0,21
29168,0.0,6
29169,0.0,20
29170,0.0,5
29171,0.0,6
29172,0.0,4
29173,0.0,4
29174,1.0,26
29175,0.0,9
29176,0.0,4
29177,0.0,5
29178,0.0,6
29179,0.0,4
29180,0.0,12
29181,0.0,4
29182,0.0,5
29183,0.0,5
29184,0.0,2
29185,0.0,2
29186,0.0,4
29187,0.0,7
29188,0.0,5
29189,0.0,2
29190,0.0,12
29191,0.0,5
29192,1.0,6
29193,0.0,8
29194,0.0,4
29195,0.0,8
29196,0.0,13
29197,0.0,7
29198,0.0,4
29199,1.0,13
29200,0.0,5
29201,0.0,17
29202,0.0,4
29203,0.0,7
29204,0.0,10
29205,1.0,8
29206,0.0,2
29207,0.0,7
29208,1.0,14
29209,0.0,4
29210,0.0,6
29211,0.0,4
29212,0.0,4
29213,0.0,15
29214,0.0,7
29215,0.0,12
29216,0.0,3
29217,0.0,3
29218,0.0,6
29219,0.0,5
29220,0.0,9
29221,0.0,2
29222,0.0,4
29223,0.0,4
29224,0.0,6
29225,0.0,5
29226,1.0,14
29227,0.0,12
29228,0.0,2
29229,0.0,3
29230,0.0,5
29231,0.0,8
29232,0.0,2
29233,0.0,2
29234,0.0,2
29235,0.0,13
29236,0.0,2
29237,1.0,10
29238,0.0,9
29239,1.0,7
29240,1.0,9
29241,0.0,5
29242,0.0,11
29243,0.0,7
29244,1.0,9
29245,0.0,2
29246,0.0,7
29247,0.0,2
29248,0.0,4
29249,1.0,6
29250,0.0,6
29251,0.0,3
29252,0.0,13
29253,0.0,3
29254,0.0,14
29255,0.0,10
29256,0.0,12
29257,0.0,5
29258,0.0,11
29259,1.0,7
29260,1.0,7
29261,1.0,8
29262,0.0,9
29263,1.0,10
29264,0.0,5
29265,0.0,3
29266,0.0,5
29267,0.0,13
29268,0.0,4
29269,1.0,9
29270,0.0,3
29271,0.0,3
29272,0.0,9
29273,1.0,6
29274,0.0,2
29275,0.0,6
29276,0.0,10
29277,1.0,8
29278,0.0,2
29279,0.0,17
29280,0.0,11
29281,0.0,2
29282,0.0,2
29283,0.0,10
29284,0.0,2
29285,0.0,9
29286,1.0,13
29287,0.0,2
29288,0.0,4
29289,0.0,6
29290,1.0,37
29291,1.0,9
29292,0.0,3
29293,0.0,4
29294,1.0,27
29295,0.0,8
29296,0.0,9
29297,0.0,3
29298,1.0,8
29299,0.0,9
29300,0.0,6
29301,0.0,7
29302,0.0,2
29303,0.0,7
29304,0.0,5
29305,0.0,3
29306,0.0,12
29307,0.0,4
29308,0.0,6
29309,0.0,8
29310,0.0,2
29311,0.0,5
29312,0.0,10
29313,0.0,4
29314,0.0,5
29315,0.0,6
29316,0.0,3
29317,0.0,2
29318,1.0,15
29319,1.0,7
29320,0.0,3
29321,0.0,4
29322,0.0,18
29323,1.0,9
29324,0.0,4
29325,0.0,2
29326,0.0,3
29327,0.0,9
29328,0.0,3
29329,0.0,3
29330,1.0,11
29331,0.0,9
29332,0.0,5
29333,0.0,4
29334,0.0,4
29335,0.0,4
29336,0.0,2
29337,0.0,4
29338,1.0,9
29339,1.0,17
29340,0.0,4
29341,0.0,2
29342,0.0,4
29343,0.0,6
29344,0.0,5
29345,0.0,12
29346,0.0,7
29347,0.0,4
29348,0.0,6
29349,0.0,8
29350,0.0,5
29351,0.0,14
29352,1.0,6
29353,0.0,5
29354,0.0,4
29355,0.0,9
29356,0.0,7
29357,0.0,9
29358,0.0,4
29359,0.0,8
29360,0.0,9
29361,1.0,13
29362,0.0,2
29363,0.0,2
29364,1.0,10
29365,0.0,9
29366,0.0,4
29367,0.0,7
29368,0.0,6
29369,0.0,10
29370,0.0,3
29371,0.0,5
29372,0.0,9
29373,1.0,8
29374,0.0,10
29375,0.0,13
29376,1.0,11
29377,0.0,3
29378,1.0,13
29379,1.0,28
29380,0.0,11
29381,1.0,8
29382,0.0,8
29383,1.0,9
29384,0.0,10
29385,0.0,7
29386,1.0,17
29387,0.0,10
29388,0.0,10
29389,0.0,3
29390,0.0,7
29391,0.0,3
29392,0.0,5
29393,0.0,7
29394,1.0,15
29395,0.0,5
29396,1.0,21
29397,1.0,19
29398,0.0,13
29399,0.0,5
29400,0.0,10
29401,0.0,10
29402,0.0,6
29403,0.0,13
29404,1.0,6
29405,0.0,8
29406,0.0,7
29407,0.0,7
29408,0.0,12
29409,1.0,10
29410,0.0,10
29411,0.0,8
29412,0.0,7
29413,0.0,2
29414,0.0,8
29415,1.0,11
29416,1.0,9
29417,0.0,11
29418,0.0,9
29419,1.0,8
29420,0.0,5
29421,0.0,9
29422,0.0,4
29423,1.0,6
29424,1.0,7
29425,0.0,7
29426,0.0,2
29427,0.0,12
29428,0.0,4
29429,0.0,3
29430,0.0,4
29431,0.0,10
29432,1.0,8
29433,0.0,2
29434,0.0,7
29435,0.0,5
29436,0.0,10
29437,0.0,7
29438,1.0,14
29439,0.0,4
29440,0.0,4
29441,0.0,8
29442,1.0,9
29443,1.0,8
29444,0.0,4
29445,0.0,4
29446,0.0,6
29447,0.0,9
29448,0.0,4
29449,0.0,6
29450,0.0,11
29451,0.0,3
29452,0.0,2
29453,1.0,13
29454,0.0,2
29455,1.0,8
29456,0.0,2
29457,0.0,15
29458,0.0,7
29459,0.0,2
29460,0.0,2
29461,0.0,7
29462,0.0,9
29463,0.0,11
29464,0.0,8
29465,0.0,8
29466,1.0,11
29467,0.0,5
29468,0.0,5
29469,0.0,10
29470,1.0,6
29471,0.0,7
29472,0.0,3
29473,0.0,2
29474,0.0,3
29475,0.0,4
29476,0.0,5
29477,0.0,4
29478,0.0,16
29479,0.0,2
29480,0.0,5
29481,0.0,6
29482,0.0,8
29483,0.0,3
29484,0.0,2
29485,0.0,5
29486,0.0,4
29487,0.0,5
29488,0.0,6
29489,0.0,2
29490,0.0,8
29491,0.0,6
29492,0.0,7
29493,0.0,2
29494,0.0,3
29495,0.0,2
29496,0.0,13
29497,0.0,7
29498,1.0,6
29499,0.0,4
29500,0.0,4
29501,0.0,6
29502,0.0,12
29503,0.0,2
29504,0.0,3
29505,0.0,3
29506,0.0,10
29507,0.0,16
29508,0.0,11
29509,0.0,10
29510,1.0,11
29511,0.0,2
29512,0.0,15
29513,0.0,7
29514,0.0,26
29515,0.0,14
29516,0.0,4
29517,1.0,11
29518,0.0,9
29519,0.0,3
29520,0.0,5
29521,0.0,16
29522,0.0,13
29523,1.0,28
29524,0.0,2
29525,0.0,2
29526,0.0,7
29527,0.0,3
29528,0.0,2
29529,0.0,2
29530,1.0,7
29531,0.0,2
29532,0.0,4
29533,1.0,20
29534,0.0,2
29535,0.0,6
29536,1.0,18
29537,0.0,15
